Date,Close,Open,High,Low,Volume,Change %
29/08/2023,"54,600","55,000","55,800","54,400",5.31M,-0.18%
28/08/2023,"54,700","54,500","55,300","54,200",5.22M,1.11%
25/08/2023,"54,100","55,500","55,500","54,000",5.13M,-2.35%
24/08/2023,"55,400","54,900","56,100","54,400",4.65M,1.65%
23/08/2023,"54,500","56,900","56,900","54,400",6.68M,-1.80%
22/08/2023,"55,500","56,800","56,800","54,500",4.57M,-0.89%
21/08/2023,"56,000","56,800","57,200","55,700",5.23M,-1.41%
18/08/2023,"56,800","60,800","60,800","56,800",8.98M,-6.89%
17/08/2023,"61,000","62,100","62,600","61,000",5.44M,-3.02%
16/08/2023,"62,900","63,000","64,100","62,300",6.37M,1.94%
15/08/2023,"61,700","61,200","62,500","60,900",5.69M,0.82%
14/08/2023,"61,200","60,900","61,800","60,800",6.22M,0.49%
11/8/2023,"60,900","62,300","62,500","59,800",4.79M,0.50%
10/8/2023,"60,600","60,700","61,600","60,600",4.74M,0.00%
9/8/2023,"60,600","62,300","62,700","60,600",5.59M,-3.50%
8/8/2023,"62,800","62,900","63,800","62,500",5.30M,-0.16%
7/8/2023,"62,900","63,700","63,700","61,600",3.40M,-0.16%
4/8/2023,"63,000","60,900","63,800","60,600",4.72M,4.83%
3/8/2023,"60,100","62,000","62,200","60,100",2.94M,-2.91%
2/8/2023,"61,900","62,600","62,900","61,900",3.44M,-1.43%
1/8/2023,"62,800","63,900","66,200","62,800",6.55M,-0.32%
31/07/2023,"63,000","62,200","63,000","61,000",5.51M,6.96%
28/07/2023,"58,900","57,700","58,900","57,400",2.87M,2.43%
27/07/2023,"57,500","59,000","59,100","57,500",2.72M,-2.54%
26/07/2023,"59,000","58,300","59,000","58,300",3.08M,0.68%
25/07/2023,"58,600","58,800","59,200","58,200",3.62M,-0.85%
24/07/2023,"59,100","59,500","59,500","58,100",2.05M,0.17%
21/07/2023,"59,000","57,500","59,000","57,300",3.60M,2.25%
20/07/2023,"57,700","58,500","58,500","57,300",3.59M,-1.37%
19/07/2023,"58,500","58,800","59,000","58,200",2.22M,-0.51%
18/07/2023,"58,800","58,500","59,400","58,000",2.91M,-0.34%
17/07/2023,"59,000","56,700","59,000","56,500",4.27M,4.61%
14/07/2023,"56,400","56,500","56,600","55,800",2.05M,0.18%
13/07/2023,"56,300","55,400","56,300","55,300",3.01M,2.18%
12/7/2023,"55,100","53,900","55,300","53,900",2.19M,2.23%
11/7/2023,"53,900","53,600","53,900","53,600",2.62M,0.19%
10/7/2023,"53,800","54,100","54,400","53,600",2.15M,-0.37%
7/7/2023,"54,000","54,500","54,900","54,000",1.22M,-0.92%
6/7/2023,"54,500","55,300","55,900","54,500",1.41M,-2.85%
5/7/2023,"56,100","56,500","56,500","55,300",1.62M,-0.71%
4/7/2023,"56,500","55,900","56,800","55,500",1.45M,1.07%
3/7/2023,"55,900","55,000","55,900","55,000",1.04M,1.64%
30/06/2023,"55,000","54,800","55,500","54,300",1.46M,0.00%
29/06/2023,"55,000","55,400","55,400","54,900",1.25M,-0.72%
28/06/2023,"55,400","56,100","56,200","55,000",1.39M,-0.89%
27/06/2023,"55,900","55,500","55,900","55,400",991.90K,0.72%
26/06/2023,"55,500","55,600","55,800","54,800",1.42M,-0.89%
23/06/2023,"56,000","55,200","56,000","55,100",2.16M,0.54%
22/06/2023,"55,700","55,000","55,700","54,700",1.91M,2.01%
21/06/2023,"54,600","55,000","55,300","54,300",2.37M,-0.91%
20/06/2023,"55,100","55,000","55,700","54,500",984.30K,0.18%
19/06/2023,"55,000","56,100","56,100","54,800",1.53M,-1.79%
16/06/2023,"56,000","56,400","56,900","55,000",2.45M,-0.88%
