"Date","Close","Open","High","Low","Volume","Change %"
"02/04/2024","13,000.0","12,900.0","13,150.0","12,500.0","933.30K","0.00%"
"01/04/2024","13,000.0","12,500.0","13,000.0","12,200.0","969.20K","3.17%"
"29/03/2024","12,600.0","12,800.0","12,950.0","12,100.0","1.40M","-2.33%"
"28/03/2024","12,900.0","13,000.0","13,000.0","12,600.0","1.65M","3.61%"
"27/03/2024","12,450.0","12,450.0","12,450.0","12,100.0","3.34M","6.87%"
"26/03/2024","11,650.0","11,150.0","11,650.0","11,000.0","1.02M","6.88%"
"25/03/2024","10,900.0","10,300.0","10,900.0","10,000.0","2.12M","6.86%"
"22/03/2024","10,200.0","10,600.0","10,700.0","10,150.0","747.70K","-1.92%"
"21/03/2024","10,400.0","10,500.0","10,500.0","10,200.0","1.04M","-0.95%"
"20/03/2024","10,500.0","10,100.0","10,500.0","9,800.0","923.00K","1.45%"
"19/03/2024","10,350.0","10,500.0","10,500.0","10,150.0","1.43M","2.48%"
"18/03/2024","10,100.0","9,450.0","10,100.0","9,340.0","2.24M","6.88%"
"15/03/2024","9,450.0","9,150.0","9,560.0","9,120.0","900.90K","3.17%"
"14/03/2024","9,160.0","9,360.0","9,360.0","9,150.0","311.90K","-1.51%"
"13/03/2024","9,300.0","9,300.0","9,300.0","9,200.0","272.20K","0.00%"
"12/03/2024","9,300.0","9,300.0","9,340.0","9,150.0","370.90K","0.00%"
"11/03/2024","9,300.0","9,400.0","9,420.0","9,300.0","421.50K","-1.06%"
"08/03/2024","9,400.0","9,280.0","9,450.0","9,140.0","580.00K","1.29%"
"07/03/2024","9,280.0","9,120.0","9,340.0","9,120.0","320.00K","-0.22%"
"06/03/2024","9,300.0","9,370.0","9,550.0","9,260.0","467.40K","-0.43%"
"05/03/2024","9,340.0","9,480.0","9,480.0","9,230.0","383.60K","-0.53%"
"04/03/2024","9,390.0","9,600.0","9,600.0","9,300.0","618.80K","2.51%"
"01/03/2024","9,160.0","9,170.0","9,170.0","9,070.0","470.60K","0.33%"
"29/02/2024","9,130.0","9,200.0","9,200.0","9,070.0","544.10K","-0.76%"
"28/02/2024","9,200.0","9,200.0","9,210.0","9,040.0","582.60K","0.00%"
"27/02/2024","9,200.0","8,920.0","9,300.0","8,870.0","800.30K","2.68%"
"26/02/2024","8,960.0","8,990.0","9,000.0","8,510.0","444.10K","-0.33%"
"23/02/2024","8,990.0","9,180.0","9,180.0","8,980.0","688.00K","-2.07%"
"22/02/2024","9,180.0","8,800.0","9,200.0","8,770.0","1.16M","4.79%"
"21/02/2024","8,760.0","8,800.0","8,800.0","8,690.0","228.40K","-0.23%"
"20/02/2024","8,780.0","8,800.0","8,840.0","8,710.0","421.70K","0.80%"
"19/02/2024","8,710.0","8,800.0","8,800.0","8,620.0","359.90K","-1.14%"
"16/02/2024","8,810.0","8,900.0","8,900.0","8,800.0","361.20K","0.11%"
"15/02/2024","8,800.0","8,470.0","8,850.0","8,470.0","724.30K","4.76%"
"07/02/2024","8,400.0","8,250.0","8,450.0","8,250.0","263.40K","0.48%"
"06/02/2024","8,360.0","8,450.0","8,450.0","8,300.0","286.10K","0.60%"
"05/02/2024","8,310.0","8,410.0","8,550.0","8,300.0","397.30K","-0.95%"
"02/02/2024","8,390.0","8,700.0","8,700.0","8,360.0","1.03M","-3.56%"
"01/02/2024","8,700.0","8,800.0","8,820.0","8,630.0","339.70K","0.00%"
"31/01/2024","8,700.0","9,010.0","9,050.0","8,610.0","324.40K","-1.25%"
"30/01/2024","8,810.0","8,500.0","8,990.0","8,500.0","762.60K","3.65%"
"29/01/2024","8,500.0","9,030.0","9,120.0","8,500.0","1.23M","-6.08%"
"26/01/2024","9,050.0","9,240.0","9,300.0","9,010.0","610.00K","-1.63%"
"25/01/2024","9,200.0","9,250.0","9,300.0","9,200.0","379.30K","-0.97%"
"24/01/2024","9,290.0","9,400.0","9,480.0","9,290.0","604.00K","-1.69%"
"23/01/2024","9,450.0","9,670.0","9,670.0","9,380.0","398.20K","-0.53%"
"22/01/2024","9,500.0","9,520.0","9,670.0","9,400.0","435.80K","0.00%"
"19/01/2024","9,500.0","9,360.0","9,800.0","9,360.0","521.70K","2.04%"
"18/01/2024","9,310.0","9,510.0","9,640.0","9,310.0","634.10K","-2.62%"
"17/01/2024","9,560.0","9,630.0","9,650.0","9,510.0","447.10K","0.63%"
"16/01/2024","9,500.0","9,500.0","9,650.0","9,340.0","495.00K","0.00%"
"15/01/2024","9,500.0","9,510.0","9,740.0","9,500.0","306.80K","-0.11%"
"12/01/2024","9,510.0","9,800.0","9,800.0","9,300.0","693.70K","-2.96%"
"11/01/2024","9,800.0","9,660.0","9,900.0","9,660.0","451.60K","1.55%"
"10/01/2024","9,650.0","9,990.0","10,000.0","9,500.0","1.09M","-3.40%"
"09/01/2024","9,990.0","10,050.0","10,100.0","9,960.0","825.60K","-0.60%"
"08/01/2024","10,050.0","10,100.0","10,200.0","9,980.0","1.03M","0.60%"
"05/01/2024","9,990.0","10,100.0","10,150.0","9,970.0","1.05M","-1.09%"
"04/01/2024","10,100.0","10,150.0","10,200.0","10,050.0","1.45M","-0.49%"
"03/01/2024","10,150.0","10,250.0","10,250.0","10,050.0","669.60K","0.00%"
"02/01/2024","10,150.0","10,200.0","10,550.0","9,980.0","984.40K","1.00%"
"29/12/2023","10,050.0","10,000.0","10,450.0","10,000.0","4.69M","-6.51%"
"28/12/2023","10,750.0","10,850.0","10,850.0","10,700.0","565.20K","-0.46%"
"27/12/2023","10,800.0","10,800.0","10,950.0","10,750.0","724.20K","-0.46%"
"26/12/2023","10,850.0","10,950.0","11,000.0","10,800.0","517.20K","0.46%"
"25/12/2023","10,800.0","10,700.0","10,950.0","10,700.0","686.00K","0.00%"
"22/12/2023","10,800.0","11,100.0","11,100.0","10,800.0","643.80K","-0.92%"
"21/12/2023","10,900.0","10,900.0","11,100.0","10,800.0","371.10K","-0.46%"
"20/12/2023","10,950.0","11,000.0","11,250.0","10,900.0","339.20K","-0.45%"
"19/12/2023","11,000.0","11,000.0","11,200.0","10,700.0","641.00K","-0.45%"
"18/12/2023","11,050.0","10,850.0","11,350.0","10,850.0","780.50K","1.84%"
"15/12/2023","10,850.0","10,950.0","11,050.0","10,700.0","552.70K","-0.91%"
"14/12/2023","10,950.0","11,000.0","11,150.0","10,750.0","652.50K","0.46%"
"13/12/2023","10,900.0","11,200.0","11,400.0","10,800.0","926.00K","-2.24%"
"12/12/2023","11,150.0","11,050.0","11,400.0","11,050.0","440.00K","1.36%"
"11/12/2023","11,000.0","11,500.0","11,500.0","10,950.0","1.27M","-4.35%"
"08/12/2023","11,500.0","11,750.0","11,900.0","11,350.0","914.00K","-2.13%"
"07/12/2023","11,750.0","11,200.0","11,750.0","11,200.0","4.23M","6.82%"
"06/12/2023","11,000.0","10,850.0","11,050.0","10,850.0","942.00K","1.38%"
"05/12/2023","10,850.0","11,250.0","11,250.0","10,800.0","960.70K","-1.81%"
"04/12/2023","11,050.0","10,800.0","11,250.0","10,800.0","1.06M","2.31%"
"01/12/2023","10,800.0","10,400.0","11,000.0","10,400.0","2.43M","-3.14%"
"30/11/2023","11,150.0","11,100.0","11,600.0","11,050.0","954.50K","-0.89%"
"29/11/2023","11,250.0","11,350.0","11,350.0","11,000.0","511.80K","0.00%"
"28/11/2023","11,250.0","10,800.0","11,250.0","10,600.0","693.50K","4.17%"
"27/11/2023","10,800.0","11,300.0","11,300.0","10,700.0","837.50K","-3.14%"
"24/11/2023","11,150.0","11,450.0","11,500.0","10,700.0","1.95M","-2.62%"
