Date,Close,Open,High,Low,Volume,Change %
15/09/2023,"21,850.00","21,500.00","22,150.00","21,200.00",17.32M,2.58%
14/09/2023,"21,300.00","21,750.00","21,950.00","21,000.00",21.55M,-2.29%
13/09/2023,"21,800.00","22,450.00","22,700.00","21,000.00",23.61M,-2.24%
12/9/2023,"22,300.00","21,200.00","22,300.00","21,000.00",18.22M,5.19%
11/9/2023,"21,200.00","22,600.00","22,700.00","21,200.00",36.21M,-6.19%
8/9/2023,"22,600.00","22,850.00","23,000.00","22,600.00",16.70M,-1.09%
7/9/2023,"22,850.00","22,400.00","23,150.00","22,400.00",19.94M,2.70%
6/9/2023,"22,250.00","21,600.00","22,250.00","21,050.00",41.80M,0.68%
5/9/2023,"22,100.00","22,500.00","22,850.00","22,050.00",17.01M,-0.67%
31/08/2023,"22,250.00","22,500.00","22,600.00","22,100.00",14.46M,0.23%
30/08/2023,"22,200.00","22,000.00","22,500.00","21,750.00",18.62M,1.14%
29/08/2023,"21,950.00","22,200.00","22,500.00","21,650.00",23.37M,-0.68%
28/08/2023,"22,100.00","21,200.00","22,300.00","20,800.00",26.86M,5.24%
25/08/2023,"21,000.00","20,400.00","21,400.00","20,300.00",38.05M,3.96%
24/08/2023,"20,200.00","19,050.00","20,200.00","19,000.00",33.77M,6.88%
23/08/2023,"18,900.00","19,250.00","19,650.00","18,900.00",20.57M,-1.05%
22/08/2023,"19,100.00","19,100.00","19,150.00","17,900.00",20.27M,0.79%
21/08/2023,"18,950.00","18,800.00","19,350.00","18,100.00",21.81M,0.53%
18/08/2023,"18,850.00","19,950.00","20,250.00","18,850.00",47.62M,-6.91%
17/08/2023,"20,250.00","20,850.00","20,900.00","20,250.00",23.17M,-2.41%
16/08/2023,"20,750.00","20,450.00","21,000.00","20,200.00",22.61M,1.72%
15/08/2023,"20,400.00","20,600.00","20,900.00","20,250.00",24.96M,0.00%
14/08/2023,"20,400.00","20,600.00","21,150.00","20,400.00",28.87M,0.74%
11/8/2023,"20,250.00","19,150.00","20,250.00","18,800.00",36.55M,6.86%
10/8/2023,"18,950.00","19,050.00","19,600.00","18,950.00",22.83M,-0.26%
9/8/2023,"19,000.00","18,750.00","19,350.00","18,500.00",24.12M,1.33%
8/8/2023,"18,750.00","19,200.00","19,300.00","18,750.00",28.37M,-2.09%
7/8/2023,"19,150.00","19,550.00","19,650.00","18,900.00",27.93M,-1.29%
4/8/2023,"19,400.00","19,200.00","19,500.00","18,800.00",31.34M,3.74%
3/8/2023,"18,700.00","18,600.00","19,200.00","18,350.00",29.98M,0.81%
2/8/2023,"18,550.00","18,050.00","18,650.00","18,050.00",27.00M,2.77%
1/8/2023,"18,050.00","19,000.00","19,000.00","18,050.00",27.13M,-5.00%
31/07/2023,"19,000.00","18,950.00","19,150.00","18,500.00",30.80M,0.26%
28/07/2023,"18,950.00","18,250.00","19,000.00","18,200.00",29.55M,4.99%
