Date,Close,Open,High,Low,Volume,Change %
17/12/2020,"7,040.00","7,200.00","7,200.00","6,980.00",1.00M,-2.90%
16/12/2020,"7,250.00","7,300.00","7,300.00","7,000.00",694.06K,1.12%
15/12/2020,"7,170.00","7,300.00","7,300.00","7,130.00",1.10M,0.99%
14/12/2020,"7,100.00","6,800.00","7,160.00","6,780.00",1.39M,5.97%
11/12/2020,"6,700.00","6,700.00","6,780.00","6,530.00",457.08K,1.52%
10/12/2020,"6,600.00","6,800.00","6,940.00","6,600.00",907.28K,-5.44%
9/12/2020,"6,980.00","6,850.00","7,070.00","6,800.00",505.18K,-1.55%
8/12/2020,"7,090.00","6,700.00","7,130.00","6,700.00",1.32M,6.30%
7/12/2020,"6,670.00","6,250.00","6,670.00","6,250.00",1.92M,6.89%
4/12/2020,"6,240.00","6,190.00","6,300.00","6,100.00",490.52K,2.30%
3/12/2020,"6,100.00","6,050.00","6,170.00","6,050.00",177.16K,0.83%
2/12/2020,"6,050.00","6,150.00","6,150.00","6,030.00",201.67K,-1.63%
1/12/2020,"6,150.00","6,000.00","6,150.00","6,000.00",223.83K,0.33%
30/11/2020,"6,130.00","6,190.00","6,200.00","6,100.00",115.77K,-1.13%
27/11/2020,"6,200.00","6,100.00","6,200.00","5,950.00",256.74K,3.33%
26/11/2020,"6,000.00","5,950.00","6,090.00","5,930.00",332.90K,0.84%
25/11/2020,"5,950.00","6,040.00","6,100.00","5,950.00",355.06K,-2.62%
24/11/2020,"6,110.00","6,200.00","6,200.00","6,050.00",351.94K,-2.86%
23/11/2020,"6,290.00","6,460.00","6,460.00","6,210.00",834.25K,4.14%
20/11/2020,"6,040.00","5,650.00","6,040.00","5,600.00",394.45K,6.90%
19/11/2020,"5,650.00","5,720.00","5,720.00","5,630.00",255.87K,-1.22%
18/11/2020,"5,720.00","5,770.00","5,800.00","5,710.00",154.30K,-0.87%
17/11/2020,"5,770.00","5,820.00","5,820.00","5,760.00",218.13K,0.00%
16/11/2020,"5,770.00","5,820.00","5,900.00","5,760.00",128.76K,-0.86%
13/11/2020,"5,820.00","5,840.00","5,840.00","5,770.00",221.51K,0.00%
12/11/2020,"5,820.00","5,870.00","5,900.00","5,800.00",106.91K,-0.85%
11/11/2020,"5,870.00","5,870.00","5,950.00","5,800.00",54.44K,0.00%
10/11/2020,"5,870.00","6,000.00","6,020.00","5,860.00",129.12K,-1.34%
9/11/2020,"5,950.00","5,950.00","6,020.00","5,920.00",177.50K,0.00%
6/11/2020,"5,950.00","6,050.00","6,050.00","5,860.00",72.48K,-1.16%
5/11/2020,"6,020.00","5,850.00","6,100.00","5,850.00",153.40K,2.56%
4/11/2020,"5,870.00","5,690.00","5,870.00","5,690.00",159.71K,2.80%
3/11/2020,"5,710.00","5,630.00","5,750.00","5,630.00",116.25K,1.06%
2/11/2020,"5,650.00","5,650.00","5,690.00","5,620.00",115.57K,0.36%
30/10/2020,"5,630.00","5,700.00","5,710.00","5,630.00",120.91K,0.00%
29/10/2020,"5,630.00","5,460.00","5,880.00","5,460.00",196.65K,0.90%
28/10/2020,"5,580.00","5,800.00","5,800.00","5,570.00",234.43K,-3.79%
27/10/2020,"5,800.00","5,900.00","5,980.00","5,800.00",212.30K,-2.36%
26/10/2020,"5,940.00","5,950.00","6,050.00","5,940.00",129.74K,-0.17%
23/10/2020,"5,950.00","5,990.00","6,000.00","5,940.00",87.26K,0.34%
22/10/2020,"5,930.00","5,980.00","6,000.00","5,900.00",260.47K,-0.50%
21/10/2020,"5,960.00","6,050.00","6,080.00","5,960.00",302.10K,-1.16%
20/10/2020,"6,030.00","6,000.00","6,090.00","6,000.00",145.02K,0.33%
19/10/2020,"6,010.00","6,180.00","6,180.00","6,000.00",424.35K,-1.15%
16/10/2020,"6,080.00","6,150.00","6,170.00","6,040.00",266.25K,-1.30%
15/10/2020,"6,160.00","6,200.00","6,230.00","6,090.00",132.36K,-0.32%
14/10/2020,"6,180.00","6,000.00","6,440.00","6,000.00",309.94K,2.66%
13/10/2020,"6,020.00","6,120.00","6,120.00","6,000.00",385.81K,-1.63%
12/10/2020,"6,120.00","6,210.00","6,210.00","6,120.00",552.73K,-1.45%
9/10/2020,"6,210.00","6,210.00","6,300.00","6,180.00",337.42K,0.00%
8/10/2020,"6,210.00","6,320.00","6,340.00","6,210.00",412.26K,-1.74%
7/10/2020,"6,320.00","6,340.00","6,490.00","6,290.00",285.95K,-1.56%
6/10/2020,"6,420.00","6,530.00","6,530.00","6,380.00",208.56K,-0.16%
5/10/2020,"6,430.00","6,500.00","6,500.00","6,380.00",453.61K,0.78%
2/10/2020,"6,380.00","6,220.00","6,530.00","6,200.00",923.85K,2.57%
1/10/2020,"6,220.00","6,210.00","6,270.00","6,180.00",372.96K,0.16%
30/09/2020,"6,210.00","6,200.00","6,240.00","6,170.00",167.17K,0.16%
29/09/2020,"6,200.00","6,210.00","6,300.00","6,180.00",262.78K,-0.64%
28/09/2020,"6,240.00","6,160.00","6,240.00","6,110.00",286.79K,1.30%
25/09/2020,"6,160.00","6,230.00","6,230.00","6,120.00",273.99K,-1.12%
24/09/2020,"6,230.00","6,290.00","6,300.00","6,220.00",347.52K,-0.95%
23/09/2020,"6,290.00","6,280.00","6,340.00","6,240.00",465.56K,0.48%
22/09/2020,"6,260.00","6,300.00","6,380.00","6,240.00",264.34K,-1.57%
21/09/2020,"6,360.00","6,320.00","6,460.00","6,320.00",150.35K,-1.40%
18/09/2020,"6,450.00","6,100.00","6,450.00","6,100.00",306.91K,2.38%
17/09/2020,"6,300.00","6,450.00","6,450.00","6,270.00",260.36K,-1.56%
16/09/2020,"6,400.00","6,450.00","6,530.00","6,380.00",131.18K,-0.31%
15/09/2020,"6,420.00","6,380.00","6,490.00","6,380.00",269.14K,0.63%
14/09/2020,"6,380.00","6,430.00","6,480.00","6,300.00",419.99K,-0.78%
11/9/2020,"6,430.00","6,380.00","6,440.00","6,380.00",343.15K,0.78%
10/9/2020,"6,380.00","6,380.00","6,400.00","6,310.00",270.67K,1.11%
9/9/2020,"6,310.00","6,120.00","6,360.00","6,000.00",220.95K,3.27%
8/9/2020,"6,110.00","6,130.00","6,180.00","6,060.00",373.36K,-0.16%
7/9/2020,"6,120.00","6,120.00","6,370.00","6,120.00",483.12K,-2.70%
4/9/2020,"6,290.00","6,200.00","6,370.00","6,200.00",397.74K,-1.72%
3/9/2020,"6,400.00","6,400.00","6,500.00","6,390.00",297.99K,-0.62%
1/9/2020,"6,440.00","6,400.00","6,490.00","6,360.00",192.71K,0.63%
31/08/2020,"6,400.00","6,500.00","6,640.00","6,400.00",324.71K,-1.39%
28/08/2020,"6,490.00","6,500.00","6,800.00","6,400.00",808.17K,0.46%
27/08/2020,"6,460.00","6,470.00","6,480.00","6,340.00",279.76K,1.25%
26/08/2020,"6,380.00","6,350.00","6,520.00","6,260.00",323.19K,0.16%
25/08/2020,"6,370.00","6,420.00","6,480.00","6,330.00",507.77K,-2.90%
24/08/2020,"6,560.00","6,540.00","6,640.00","6,400.00",363.32K,0.31%
21/08/2020,"6,540.00","6,550.00","6,790.00","6,410.00",376.87K,2.19%
20/08/2020,"6,400.00","6,010.00","6,400.00","5,830.00",2.19M,6.84%
19/08/2020,"5,990.00","6,090.00","6,090.00","5,930.00",187.72K,2.39%
18/08/2020,"5,850.00","5,870.00","5,950.00","5,700.00",295.33K,-1.68%
17/08/2020,"5,950.00","6,050.00","6,070.00","5,880.00",143.31K,-1.65%
14/08/2020,"6,050.00","6,050.00","6,130.00","6,030.00",161.34K,-0.82%
13/08/2020,"6,100.00","6,170.00","6,170.00","6,050.00",149.85K,0.00%
12/8/2020,"6,100.00","6,130.00","6,130.00","6,020.00",108.77K,0.66%
